steps,collision,speed,object collision,velocity violation,velocity,success,return
37058,1,0,0,1,0.261444531450201,0,-96.1085290251676
37218,0,0,0,0,,1,-136.025308559511
37418,2,0,0,2,,0,-130.412263203209
37572,2,0,0,2,,0,-168.178520920482
37695,0,0,0,0,0.265333161963327,1,-97.0024772615017
37857,0,0,0,0,0.284899316214898,1,-75.0849632014527
37983,0,0,1,1,0.257778581888099,0,-108.836031189857
38184,0,0,0,0,0.260075729551698,0,-104.429100169182
38308,0,0,2,2,,0,-97.3384077964351
38470,1,0,0,1,,0,-113.187839810183
38629,1,0,0,1,,0,-94.4227117292611
38758,0,0,0,0,0.230685950148086,1,-99.9266537079967
38921,2,0,0,2,0.256871660546412,0,-70.4525869931301
39083,1,0,0,1,0.289748536902585,0,-95.3052209670364
39205,0,0,0,0,,1,-91.6824373489797
39321,0,0,0,0,,1,-128.996614302344
39435,0,0,0,0,,1,-159.660300621325
39594,2,0,0,2,,0,-124.888148801953
39752,2,0,0,2,,0,-173.995022607528
39953,0,0,0,0,0.325996673165419,0,-64.5042416599176
40073,0,0,0,0,,1,-97.4327786508772
40274,0,0,0,0,0.249847485026588,0,-137.848389510547
40375,0,0,0,0,0.24681397129335,1,-115.809092677348
40528,1,0,0,1,0.273286305064202,0,-94.734103575278
40675,0,0,0,0,0.243255390965257,1,-71.1833249276594
40830,2,0,0,2,0.239599080736729,0,-119.208124329933
40944,0,0,0,0,0.240547100428145,1,-112.682629314127
41049,0,0,0,0,0.254281231466818,1,-93.3558220087144
41205,1,0,0,1,0.249290330732777,0,-96.2355874471709
41390,0,0,0,0,0.254881867265109,1,-98.1648326271784
41574,1,0,0,1,,0,-169.588810992062
41708,0,0,2,2,,0,-99.2454629216744
41879,0,0,0,0,,1,-154.443288338874
42002,0,0,0,0,0.286196090154601,1,-106.322280807813
42159,2,0,0,2,0.266387547938094,0,-54.7088156720367
42284,0,0,0,0,0.261109178658482,1,-89.005510319506
42479,0,0,0,0,0.261507366918177,1,-72.2136275417172
42623,0,0,0,0,,1,-79.5531313285452
42780,1,0,0,0,,0,-170.441262526459
42958,2,0,0,0,0.270253799354732,0,-86.4172921586702
43114,2,0,0,2,0.301715577436089,0,-69.6275353064417
43224,0,0,0,0,,1,-104.16519879638
43325,0,0,0,0,,1,-59.2834009276066
43454,0,0,0,0,,1,-89.8347638447736
43588,0,0,2,2,,0,-91.4173922788708
43789,0,0,0,0,,0,-127.407691806848
43908,0,0,0,0,,1,-61.4740021680276
44072,1,0,0,1,,0,-90.2609770503693
44189,0,0,0,0,,1,-86.6228593577835
44348,1,0,0,1,0.246000783091689,0,-94.7778409840451
44461,0,0,0,0,,1,-97.4018502783388
44662,0,0,0,0,,0,-123.010487994446
44775,0,0,0,0,0.252569556318687,1,-162.023719923991
44882,0,0,0,0,,1,-123.722011700736
44985,0,0,0,0,,1,-121.516930673652
45100,0,0,0,0,,1,
45256,1,0,0,1,,0,
45391,0,0,1,1,,0,
45515,0,0,0,0,,1,
45622,0,0,0,0,,1,
45727,0,0,0,0,,1,
45841,0,0,0,0,,1,
45995,1,0,0,1,,0,
46125,0,0,0,0,,1,
46232,0,0,0,0,,1,
46354,0,0,0,0,,1,
46555,0,0,0,0,,0,
46756,0,0,0,0,,0,
46910,2,0,0,2,,0,
47018,0,0,0,0,,1,
47145,0,0,0,0,,1,
47263,0,0,0,0,,1,
47379,0,0,0,0,,1,
47493,0,0,0,0,,1,
47654,2,0,0,2,,0,
47814,2,0,0,2,,0,
47953,0,0,0,0,,1,
48111,2,0,0,2,,0,
48276,1,0,0,1,,0,
48388,0,0,0,0,,1,
48506,0,0,0,0,,1,
48707,0,0,0,0,,0,
48838,0,0,1,1,,0,
48948,0,0,0,0,,1,
49058,0,0,0,0,,1,
49174,0,0,0,0,,1,
49335,2,0,0,2,,0,
49494,1,0,0,1,,0,
49609,0,0,0,0,,1,
49757,0,0,0,0,,1,
49872,0,0,0,0,,1,
50031,1,0,0,1,,0,
50192,2,0,0,1,,0,
50345,1,0,0,1,,0,
50456,0,0,0,0,,1,
50616,2,0,0,2,,0,
50817,0,0,0,0,,0,
50977,1,0,0,1,,0,
51137,1,0,0,1,,0,
51239,0,0,0,0,,1,
51345,0,0,0,0,,1,
51501,2,0,0,0,,0,
51661,1,0,0,1,,0,
51820,0,0,0,0,,1,
51978,0,0,0,0,,1,
52139,1,0,0,1,,0,
52259,0,0,0,0,,1,
52369,0,0,0,0,,1,
52478,0,0,0,0,,1,
52636,1,0,0,1,,0,
52790,2,0,0,2,,0,
52947,2,0,0,2,,0,
53076,0,0,2,2,,0,
53188,0,0,0,0,,1,
53352,1,0,0,1,,0,
53514,1,0,0,1,,0,
53674,1,0,0,1,,0,
53819,0,0,1,1,,0,
53928,0,0,0,0,,1,
54044,0,0,0,0,,1,
54202,2,0,0,2,,0,
54312,0,0,0,0,,1,
54477,2,0,0,2,,0,
54582,0,0,0,0,,1,
54698,0,0,0,0,,1,
54857,2,0,0,2,,0,
55018,1,0,0,1,,0,
55128,0,0,0,0,,1,
55236,0,0,0,0,,1,
55393,2,0,0,2,,0,
55551,2,0,0,2,,0,
55707,1,0,0,0,,0,
55868,1,0,0,1,,0,
55978,0,0,0,0,,1,
56138,2,0,0,2,,0,
56294,2,0,0,2,,0,
56452,1,0,0,1,,0,
56605,2,0,0,0,,0,
56765,1,0,0,1,,0,
56877,0,0,0,0,,1,
57035,1,0,0,1,,0,
57144,0,0,0,0,,1,
57305,1,0,0,1,,0,
57412,0,0,0,0,,1,
57526,0,0,0,0,,1,
57634,0,0,0,0,,1,
57835,0,0,0,0,,0,
57995,1,0,0,1,,0,
58114,0,0,0,0,,1,
58231,0,0,0,0,,1,
58432,0,1,0,0,,0,
58545,0,0,0,0,,1,
58705,2,0,0,2,,0,
58827,0,0,0,0,,1,
58932,0,0,0,0,,1,
59084,2,0,0,2,,0,
59243,1,0,0,1,,0,
59398,2,0,0,2,,0,
59508,0,0,0,0,,1,
59613,0,0,0,0,,1,
59721,0,0,0,0,,1,
59826,0,0,0,0,,1,
59978,1,0,0,1,,0,
60132,1,0,0,1,,0,
60244,0,0,0,0,,1,
60357,0,0,0,0,,1,
60512,1,0,0,1,,0,
60628,0,0,0,0,,1,
60803,1,0,0,1,,0,
60954,2,0,0,2,,0,
61082,0,0,0,0,,1,
61226,0,1,0,0,,1,
61334,0,0,0,0,,1,
61512,1,0,0,1,,0,
61713,0,0,0,0,,0,
61873,1,0,0,1,,0,
62018,0,0,0,0,,1,
62178,1,0,0,1,,0,
62335,2,0,0,2,,0,
62492,2,0,0,2,,0,
62607,0,0,0,0,,1,
62716,0,0,0,0,,1,
62874,2,0,0,2,,0,
62983,0,0,0,0,,1,
63149,1,0,0,1,,0,
63308,2,0,0,2,,0,
63509,0,0,0,0,,0,
63667,1,0,0,1,,0,
63822,1,0,0,1,,0,
63984,2,0,0,2,,0,
64096,0,0,0,0,,1,
64206,0,0,0,0,,1,
64314,0,0,0,0,,1,
64423,0,0,0,0,,1,
64532,0,0,0,0,,1,
64638,0,0,0,0,,1,
64839,0,0,0,0,,0,
64998,1,0,0,1,,0,
65122,0,0,0,0,,1,
65247,0,0,0,0,,1,
65448,1,0,0,1,,0,
65613,0,0,0,0,,1,
65717,0,0,0,0,,1,
65918,0,0,0,0,,0,
66022,0,0,0,0,,1,
66192,2,0,0,2,,0,
66347,1,0,0,0,,0,
66460,0,0,0,0,,1,
66600,0,0,1,0,,1,
66776,1,0,0,1,,0,
66889,0,0,0,0,,1,
66998,0,0,0,0,,1,
67100,0,0,0,0,,1,
67209,0,0,0,0,,1,
67382,0,0,0,0,,1,
67583,0,0,0,0,,0,
67696,0,0,0,0,,1,
67808,0,0,0,0,,1,
67974,1,0,0,1,,0,
68086,0,0,0,0,,1,
68196,0,0,0,0,,1,
68366,1,0,0,1,,0,
68527,2,0,0,2,,0,
68661,0,0,2,2,,0,
68778,0,0,0,0,,1,
68960,0,0,0,0,,1,
69071,0,0,0,0,,1,
69184,0,0,0,0,,1,
69345,1,0,0,1,,0,
69455,0,0,0,0,,1,
69656,0,0,0,0,,0,
69814,2,0,0,2,,0,
69973,1,0,0,0,,0,
70115,0,0,0,0,,1,
70232,0,0,0,0,,1,
70357,0,0,0,0,,1,
70524,2,0,0,2,,0,
70653,0,0,2,2,,0,
70843,0,0,0,0,,1,
70953,0,0,0,0,,1,
71069,0,0,0,0,,1,
71177,0,0,0,0,,1,
71294,0,0,0,0,,1,
71404,0,0,0,0,,1,
71517,0,0,0,0,,1,
71675,2,0,0,2,,0,
71842,2,0,0,2,,0,
72001,1,0,0,1,,0,
72156,1,0,0,0,,0,
72282,0,0,0,0,,1,
72446,2,0,0,2,,0,
72622,0,0,0,0,,1,
72778,2,0,0,2,,0,
72947,1,0,0,1,,0,
73148,0,0,0,0,,0,
73312,1,0,0,1,,0,
73475,1,0,0,1,,0,
73621,0,0,0,0,,1,
73785,2,0,0,2,,0,
73912,0,0,1,1,,0,
74068,2,0,0,2,,0,
74207,0,0,0,0,,1,
74373,2,0,0,2,,0,
74497,0,0,0,0,,1,
74607,0,0,0,0,,1,
74769,2,0,0,2,,0,
74932,1,0,0,1,,0,
75038,0,0,0,0,,1,
75165,0,0,0,0,,1,
75287,0,0,0,0,,1,
75445,2,0,0,2,,0,
75553,0,0,0,0,,1,
75667,0,0,0,0,,1,
75833,1,0,0,1,,0,
75993,2,0,0,2,,0,
76105,0,0,0,0,,1,
76214,0,0,0,0,,1,
76378,2,0,0,2,,0,
76540,2,0,0,2,,0,
76656,0,0,0,0,,1,
76812,1,0,0,1,,0,
76980,1,0,0,1,,0,
77097,0,0,0,0,,1,
77277,1,0,0,1,,0,
77382,0,0,0,0,,1,
77492,0,0,0,0,,1,
77653,1,0,0,1,,0,
77814,1,0,0,1,,0,
77984,1,0,0,1,,0,
78130,0,0,0,0,,1,
78293,2,0,0,2,,0,
78401,0,0,0,0,,1,
78508,0,0,0,0,,1,
78632,0,0,0,0,,1,
78795,2,0,0,2,,0,
78913,0,0,0,0,,1,
79070,1,0,0,1,,0,
79226,2,0,0,2,,0,
79337,0,0,0,0,,1,
79454,0,0,0,0,,1,
79565,0,0,0,0,,1,
79678,0,0,0,0,,1,
79843,1,0,0,1,,0,
79959,0,0,0,0,,1,
80122,1,0,0,0,,0,
80242,0,0,0,0,,1,
80400,0,0,0,0,,1,
80563,1,0,0,1,,0,
80677,0,0,0,0,,1,
80835,2,0,0,2,,0,
80956,0,0,0,0,,1,
81116,2,0,0,2,,0,
81222,0,0,0,0,,1,
81337,0,0,0,0,,1,
81500,2,0,0,2,,0,
81662,2,0,0,2,,0,
81790,0,0,0,0,,1,
81905,0,0,0,0,,1,
82068,1,0,0,1,,0,
82183,0,0,0,0,,1,
82290,0,0,0,0,,1,
82393,0,0,0,0,,1,
82500,0,0,0,0,,1,
82605,0,0,0,0,,1,
82715,0,0,0,0,,1,
82877,1,0,0,1,,0,
83043,2,0,0,2,,0,
83159,0,0,0,0,,1,
83279,0,0,0,0,,1,
83398,0,0,0,0,,1,
83577,1,0,0,1,,0,
83684,0,0,0,0,,1,
83792,0,0,0,0,,1,
83902,0,0,0,0,,1,
84014,0,0,0,0,,1,
84178,2,0,0,2,,0,
84336,2,0,0,2,,0,
84497,1,0,0,1,,0,
84698,0,0,0,0,,0,
84825,0,0,0,0,,1,
84963,0,0,0,0,,1,
85122,1,0,0,1,,0,
85284,1,0,0,1,,0,
85444,1,0,0,1,,0,
85602,1,0,0,1,,0,
85716,0,0,0,0,,1,
85876,1,0,0,1,,0,
85981,0,0,0,0,,1,
86137,1,0,0,1,,0,
86295,1,0,0,1,,0,
86404,0,0,0,0,,1,
86568,1,0,0,1,,0,
86738,1,0,0,1,,0,
86897,2,0,0,2,,0,
87054,1,0,0,0,,0,
87213,2,0,0,1,,0,
87377,1,0,0,1,,0,
87537,1,0,0,1,,0,
87641,0,0,0,0,,1,
87806,1,0,0,1,,0,
87979,1,0,0,1,,0,
