,steps,collision,speed,ik,object collision,velocity violation,velocity,success,return
159,31627,2,0,0,0,2,0.31504912276271985,0,-73.20732750070614
160,31800,2,0,0,0,2,0.21469068171340255,0,-86.14300260722331
161,32001,0,0,0,0,0,,0,-119.95678962820219
162,32202,0,0,0,0,0,,0,-127.88064927179335
163,32359,1,0,0,0,1,0.22571310096480554,0,-80.03665206507416
164,32525,2,0,0,0,2,0.23433956502295053,0,-70.8495684772121
165,32689,2,0,0,0,2,0.2963444028609615,0,-95.16246643360219
166,32890,0,0,0,0,0,,0,-137.89218493007368
167,33072,1,0,0,0,1,0.25425824117079504,0,-101.91037145604705
168,33273,0,0,0,0,0,,0,-128.27962821327463
169,33474,0,0,0,0,0,,0,-182.84039182472213
170,33657,2,0,0,0,2,0.21499303820664228,0,-59.83623634891777
171,33858,0,0,0,0,0,,0,-139.37738157416254
172,34025,2,0,0,0,2,0.2298920969202122,0,-80.55661830561172
173,34226,0,0,0,0,0,,0,-94.56108825199072
174,34427,0,0,0,0,0,,0,-142.81248720546154
175,34628,0,0,0,0,0,,0,-122.49527329021967
176,34829,0,0,0,0,0,,0,-79.06879863668887
177,35030,0,0,0,0,0,,0,-83.49484070774199
178,35231,0,0,0,0,0,,0,-84.78967671726012
179,35432,0,0,0,0,0,,0,-92.2045089127587
180,35633,0,0,0,0,0,,0,-120.93303542552162
181,35834,0,0,0,0,0,,0,-91.95793257232319
182,36011,1,0,0,0,1,0.2539178241295785,0,-67.49785440760164
183,36212,0,0,0,0,0,,0,-72.90676393576378
184,36413,0,0,0,0,0,,0,-182.17581295911822
185,36570,2,0,0,0,2,0.25323629707919404,0,-87.94848225927208
186,36771,0,0,0,0,0,,0,-113.57095243892026
187,36938,2,0,0,0,2,0.29041121440336015,0,-107.07164955690905
188,37139,0,0,0,0,0,,0,-113.44362243137759
189,37340,0,0,0,0,0,,0,-97.37051520670332
190,37541,0,0,0,0,0,,0,-159.5535150420808
191,37742,0,0,0,0,0,,0,-98.6104939135983
192,37896,2,0,0,0,2,0.26709107964929124,0,-68.13082786108825
193,38062,1,0,0,0,0,,0,-47.49727249422282
194,38263,0,0,0,0,0,,0,-129.38192973344616
195,38464,0,0,0,0,0,,0,-96.07307238792316
196,38665,0,0,0,0,0,,0,-51.79207794404623
197,38832,1,0,0,0,1,0.32744294600432894,0,-114.93226738353667
198,39033,0,0,0,0,0,,0,-173.14649036071248
199,39234,0,0,0,0,0,,0,-91.35844383001393
200,39397,1,0,0,0,1,0.2666725210134874,0,-96.08189295074088
201,39598,0,0,0,0,0,,0,-85.51850414343414
202,39774,1,0,0,0,1,0.20283672323918586,0,-170.01172458084687
203,39929,1,0,0,0,1,0.30882538705693635,0,-90.1816957858308
204,40115,1,0,0,0,1,0.27822561783532834,0,-94.44218935083674
205,40316,0,0,0,0,0,,0,-92.22806795636242
206,40517,0,0,0,0,0,,0,-90.28356287898237
207,40718,0,0,0,0,0,,0,-106.63806079437086
208,40919,0,0,0,0,0,,0,-120.95091192428792
209,41107,2,0,0,0,2,0.26611056661963617,0,-85.78883197727936
210,41248,0,0,0,0,0,,1,-54.447330021095425
211,41429,1,0,0,0,1,0.26657582065056223,0,-76.63128257065873
212,41607,1,0,0,0,1,0.23613114789937562,0,-90.9791007419057
213,41780,2,0,0,0,2,0.24211338809462613,0,-120.58546091760095
214,41972,1,0,0,0,1,0.2609462399636808,0,-155.70473502797938
215,42131,2,0,0,0,2,0.325670270108091,0,-81.7306389226608
216,42332,0,0,0,0,0,,0,-168.60390357666427
217,42533,0,0,0,0,0,,0,-89.61904579943148
218,42734,0,0,0,0,0,,0,-75.57940276837928
219,42935,0,0,0,0,0,,0,-204.54323077972197
220,43072,0,0,0,2,2,0.21076393231003204,0,-86.7981107412743
221,43260,2,0,0,0,2,0.2614445314502008,0,-96.1085290251676
222,43461,0,0,0,0,0,,0,-136.02530855951136
223,43662,0,0,0,0,0,,0,-130.41226320320868
224,43863,0,0,0,0,0,,0,-168.17852092048224
225,44054,2,0,0,0,2,0.2653331619633269,0,-97.0024772615017
226,44231,2,0,0,0,2,0.2848993162148976,0,-75.08496320145272
227,44423,2,0,0,0,2,0.2577785818880988,0,-108.83603118985732
228,44615,2,0,0,0,2,0.26007572955169794,0,-104.4291001691821
229,44816,0,0,0,0,0,,0,-97.33840779643506
230,45017,0,0,0,0,0,,0,-113.1878398101831
231,45218,0,0,0,0,0,,0,-94.42271172926107
232,45417,2,0,0,0,2,0.23068595014808618,0,-99.92665370799673
233,45612,1,0,0,0,1,0.2568716605464125,0,-70.4525869931301
234,45782,1,0,0,0,1,0.28974853690258484,0,-95.30522096703635
235,45983,0,0,0,0,0,,0,-91.68243734897966
236,46184,0,0,0,0,0,,0,-128.99661430234437
237,46385,0,0,0,0,0,,0,-159.66030062132546
238,46586,0,0,0,0,0,,0,-124.88814880195302
239,46787,0,0,0,0,0,,0,-173.99502260752763
240,46950,2,0,0,0,2,0.32599667316541847,0,-64.50424165991762
241,47151,0,0,0,0,0,,0,-97.43277865087722
242,47338,1,0,0,0,1,0.249847485026588,0,-137.84838951054678
243,47535,1,0,0,0,1,0.24681397129335012,0,-115.80909267734836
244,47710,2,0,0,0,2,0.27328630506420243,0,-94.73410357527801
245,47909,2,0,0,0,2,0.24325539096525667,0,-71.1833249276594
246,48087,2,0,0,0,2,0.23959908073672903,0,-119.20812432993283
247,48261,1,0,0,0,1,0.24054710042814545,0,-112.68262931412704
248,48454,2,0,0,0,2,0.25428123146681747,0,-93.35582200871443
249,48638,2,0,0,0,2,0.24929033073277695,0,-96.23558744717087
250,48830,1,0,0,0,1,0.2548818672651087,0,-98.16483262717837
251,49031,0,0,0,0,0,,0,-169.5888109920623
252,49229,1,0,0,0,0,,0,-99.24546292167442
253,49430,0,0,0,0,0,,0,-154.44328833887425
254,49607,2,0,0,0,2,0.286196090154601,0,-106.32228080781348
255,49788,2,0,0,0,2,0.2663875479380944,0,-54.70881567203665
256,49983,2,0,0,0,2,0.2611091786584823,0,-89.00551031950602
257,50177,2,0,0,0,2,0.26150736691817705,0,-72.21362754171722
258,50378,0,0,0,0,0,,0,-79.5531313285452
259,50579,0,0,0,0,0,,0,-170.4412625264594
260,50769,1,0,0,0,1,0.2702537993547322,0,-86.41729215867021
261,50936,1,0,0,0,1,0.30171557743608923,0,-69.62753530644167
262,51137,0,0,0,0,0,,0,-104.16519879637997
263,51335,0,0,0,0,0,,1,-59.28340092760656
264,51536,0,0,0,0,0,,0,-89.83476384477362
265,51737,0,0,0,0,0,,0,-91.41739227887085
266,51938,0,0,0,0,0,,0,-127.40769180684775
267,52139,0,0,0,0,0,,0,-61.47400216802758
268,52340,0,0,0,0,0,,0,-90.26097705036932
269,52541,0,0,0,0,0,,0,-86.62285935778354
270,52716,1,0,0,0,1,0.24600078309168946,0,-94.77784098404514
271,52872,1,0,0,0,0,,0,-97.40185027833878
272,53073,0,0,0,0,0,,0,-123.01048799444553
273,53269,1,0,0,0,1,0.25256955631868677,0,-162.02371992399125
274,53470,0,0,0,0,0,,0,-123.722011700736
275,53671,0,0,0,0,0,,0,-121.5169306736519
