,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
370,1850000,0,0,0,0,0,,1,762.831184181422
371,1855000,0,0,0,0,0,,0,-160.22449991464
372,1860000,0,0,0,0,0,,0,-97.6458097101389
373,1865000,0,0,0,0,0,,1,853.627875113597
374,1870000,0,0,0,0,0,,0,-126.819220243049
375,1875000,0,0,0,0,0,,1,806.751155921196
376,1880000,0,0,0,0,0,,1,717.074288430091
377,1885000,0,0,0,0,0,,1,813.279577402793
378,1890000,0,0,0,0,0,,0,-170.541828808627
379,1895000,0,0,0,0,0,,1,812.709760450317
380,1900000,0,0,0,0,0,,1,770.385675189301
381,1905000,0,0,0,0,0,,0,-84.4154646131207
382,1910000,0,0,0,0,0,,1,744.694736065747
383,1915000,0,0,0,0,0,,0,-101.442222040245
384,1920000,0,0,0,0,0,,1,474.985186102053
385,1925000,0,0,0,0,0,,0,662.948785951817
386,1930000,0,0,0,0,0,,0,-114.095267554961
387,1935000,0,0,0,0,0,,1,832.259024860869
388,1940000,0,0,0,0,0,,1,450.030504838898
389,1945000,0,0,0,0,0,,1,610.895773755111
390,1950000,0,0,0,0,0,,0,-83.0289549595803
391,1955000,0,0,0,0,0,,0,-163.498514515503
392,1960000,0,0,0,0,0,,0,-94.9833099418154
393,1965000,0,0,0,0,0,,0,-137.478083416508
394,1970000,0,0,0,0,0,,0,-119.824175361793
395,1975000,0,0,0,0,0,,1,797.84373198787
396,1980000,0,0,0,0,0,,0,-149.835925972477
397,1985000,0,0,0,0,0,,0,-153.144676935213
398,1990000,0,0,0,0,0,,1,413.352900222554
399,1995000,0,0,0,0,0,,1,806.079171773765
400,2000000,0,0,0,0,0,,1,590.591998657591
401,2005000,0,0,0,0,0,,1,-0.996902138739564
402,2010000,0,0,0,0,0,,0,-101.692827563487
403,2015000,0,0,0,0,0,,0,138.635128109501
404,2020000,0,0,0,0,0,,0,118.907436187842
405,2025000,0,0,0,0,0,,1,57.2852894577392
406,2030000,0,0,0,0,0,,1,201.235052080107
407,2035000,0,0,0,0,0,,1,790.259104897664
408,2040000,0,0,0,0,0,,0,-119.325913840141
409,2045000,0,0,0,0,0,,0,-94.4387674386193
410,2050000,0,0,0,0,0,,1,772.07723864099
411,2055000,0,0,0,0,0,,1,459.433725159585
412,2060000,0,0,0,0,0,,1,337.210726388741
413,2065000,0,0,0,0,0,,0,-87.2917624600952
414,2070000,0,0,0,0,0,,0,-80.4023759119598
415,2075000,0,0,0,0,0,,1,739.215086775156
416,2080000,0,0,0,0,0,,1,697.086281384732
417,2085000,0,0,0,0,0,,1,185.558557764982
418,2090000,0,0,0,0,0,,0,-130.552968663714
419,2095000,0,0,0,0,0,,0,-182.887373149884
420,2100000,0,0,0,0,0,,0,-150.114585377144
421,2105000,0,0,0,0,0,,1,830.783077654471
422,2110000,0,0,0,0,0,,0,-92.9544265468373
423,2115000,0,0,0,0,0,,1,527.947882084751
424,2120000,0,0,0,0,0,,0,-141.033173451774
425,2125000,0,0,0,0,0,,0,-155.197858624191
426,2130000,0,0,0,0,0,,0,-95.7208079313385
427,2135000,0,0,0,0,0,,1,838.713481776616
428,2140000,0,0,0,0,0,,1,782.139901776586
429,2145000,0,1,0,0,0,,1,799.238711242354
430,2150000,0,0,0,0,0,,1,787.542061727305
431,2155000,0,0,0,0,0,,1,302.73273229692
432,2160000,0,0,0,0,0,,0,-159.532579218321
433,2165000,0,0,0,0,0,,1,848.577359130925
434,2170000,0,0,0,0,0,,1,820.572220857415
435,2175000,0,0,0,0,0,,0,-81.9741157331334
436,2180000,0,0,0,0,0,,0,-120.055197313858
437,2185000,0,0,0,0,0,,1,-46.5937122342294
