,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
373,1865000,0,0,0,0,0,,1,862.537897662833
374,1870000,0,0,0,0,0,,1,794.735097598894
375,1875000,0,0,0,0,0,,1,65.8787453697115
376,1880000,0,0,0,0,0,,0,-140.823723166161
377,1885000,0,0,0,0,0,,1,747.323603157087
378,1890000,0,0,0,0,0,,0,-105.338758109778
379,1895000,0,0,0,0,0,,1,795.114937789075
380,1900000,0,0,0,0,0,,1,803.299902936571
381,1905000,0,0,0,0,0,,1,275.233171215446
382,1910000,0,0,0,0,0,,1,643.951149422053
383,1915000,0,0,0,0,0,,1,891.555512178788
384,1920000,0,0,0,0,0,,1,393.50996294112
385,1925000,0,0,0,0,0,,1,778.097700739517
386,1930000,0,0,0,0,0,,0,-90.3049769765791
387,1935000,0,0,0,0,0,,1,819.602532594291
388,1940000,0,0,0,0,0,,1,396.592128501612
389,1945000,0,0,0,0,0,,0,359.430542939006
390,1950000,0,0,0,0,0,,0,-146.76467366337
391,1955000,0,0,0,0,0,,0,-89.9953609355615
392,1960000,0,0,0,0,0,,1,867.90160017551
393,1965000,0,0,0,0,0,,1,864.166797444163
394,1970000,0,0,0,0,0,,0,-95.9783573776503
395,1975000,0,0,0,0,0,,0,-119.99694787743
396,1980000,0,0,0,0,0,,0,-127.817604558707
397,1985000,0,0,0,0,0,,0,-77.3110973788695
398,1990000,0,0,0,0,0,,1,742.848998121139
399,1995000,0,0,0,0,0,,1,839.393013406851
400,2000000,0,0,0,0,0,,0,-125.450148187619
401,2005000,0,0,0,0,0,,0,-90.1469906440236
402,2010000,0,0,0,0,0,,1,593.453955875553
403,2015000,0,0,0,0,0,,1,891.074403907406
404,2020000,0,0,0,0,0,,1,822.436102495328
405,2025000,0,0,0,0,0,,1,792.666853663778
406,2030000,0,0,0,0,0,,0,-141.945361786669
407,2035000,0,1,0,0,0,,1,839.92453822053
408,2040000,0,0,0,0,0,,1,868.977040321853
409,2045000,0,0,0,0,0,,0,-145.695387336739
410,2050000,0,0,0,0,0,,1,551.24127114649
411,2055000,0,0,0,0,0,,1,133.065028618487
412,2060000,0,1,0,0,0,,1,768.237338810626
413,2065000,0,0,0,0,0,,1,43.7578991237967
414,2070000,0,0,0,0,0,,0,-103.140957024513
415,2075000,0,0,0,0,0,,1,810.807891602613
416,2080000,0,0,0,0,0,,0,-150.265917011376
417,2085000,0,0,0,0,0,,1,842.177981882275
418,2090000,0,0,0,0,0,,0,-66.6440590714797
419,2095000,0,0,0,0,0,,0,-100.130082103738
420,2100000,0,0,0,0,0,,0,-84.9950174465021
421,2105000,0,0,0,0,0,,1,839.502473109896
422,2110000,0,0,0,0,0,,1,648.273004063523
423,2115000,0,0,0,0,0,,1,824.826852690396
424,2120000,0,0,0,0,0,,1,627.442055327028
425,2125000,0,0,0,0,0,,1,627.893510935841
426,2130000,0,0,0,0,0,,0,-79.8660121386759
427,2135000,0,0,0,0,0,,1,630.350972280606
428,2140000,0,0,0,0,0,,0,-107.988279154837
429,2145000,0,0,0,0,0,,0,-99.4682386089753
430,2150000,0,0,0,0,0,,1,790.107883978894
431,2155000,0,1,0,0,0,,1,837.708910627715
432,2160000,0,0,0,0,0,,1,797.165622967981
433,2165000,0,0,0,0,0,,0,-119.325144528811
434,2170000,0,0,0,0,0,,0,-148.20307952815
435,2175000,0,0,0,0,0,,1,431.9403634061
436,2180000,0,0,0,0,0,,1,823.803391094083
437,2185000,0,0,0,0,0,,1,754.347934211883
438,2190000,0,0,0,0,0,,0,-183.445190354816
439,2195000,0,0,0,0,0,,0,-136.480586465625
440,2200000,0,0,0,0,0,,1,805.606863153788
441,2205000,0,0,0,0,0,,0,-126.237149606811
442,2210000,0,0,0,0,0,,1,358.767720598591
443,2215000,0,0,0,0,0,,1,856.092153523054
444,2220000,0,0,0,0,0,,0,-96.6356471840506
445,2225000,0,0,0,0,0,,0,-134.748457502641
446,2230000,0,0,0,0,0,,1,844.93287515612
447,2235000,0,0,0,0,0,,1,811.780202806914
448,2240000,0,0,0,0,0,,0,-134.336276044943
449,2245000,0,0,0,0,0,,1,153.282311463804
450,2250000,0,0,0,0,0,,1,730.101642146752
451,2255000,0,0,0,0,0,,1,847.824866145414
452,2260000,0,0,0,0,0,,1,866.350785926323
453,2265000,0,0,0,0,0,,0,-134.070989436891
454,2270000,0,0,0,0,0,,0,-91.3756059603342
455,2275000,0,0,0,0,0,,1,804.135473270772
456,2280000,0,0,0,0,0,,1,764.820107264163
457,2285000,0,0,0,0,0,,0,-176.719958126926
458,2290000,0,0,0,0,0,,0,-144.624130073095
459,2295000,0,0,0,0,0,,0,-130.748839492503
460,2300000,0,0,0,0,0,,1,787.065986081406
